tour_code,tour_title,nights,days,day,location,activity,Typical visit time
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,2,PINNAWELA,PINNAWELA Elephant Orphanage,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,2,POLONNARUWA,POLONNARUWA ancient city,Evening
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,2,SIGIRIYA,SIGIRIYA Rock Fortress,Morning
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,3,SIGIRIYA,Day excursion to SIGIRIYA ,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,2,SIGIRIYA,SIGIRIYA Rock Fortress,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,2,SIGIRIYA,Leisure at the hotel,Evening
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,2,SIGIRIYA,SIGIRIYA Rock Fortress,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,2,SIGIRIYA,SIGIRIYA Rock Fortress,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,2,SIGIRIYA,Leisure at the hotel,Evening
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,4,YALA,YALA National Park,Morning
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,6,YALA,YALA National Park ,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,4,YALA,YALA National Park ,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,5,YALA,YALA National Park,Morning
